abv,barcode,beer,brewer,description,location,name,sku,style
6.20%,,Whizz Bang,Modern Times,Hopped with Riwaka and Experimental 07270 for huge aromas of grapefruit and tangerine followed by a glorious mouth-full of citrusy dankness,"San Diego, CA",,,IPA
7.00%,,Blam! Blam!,Modern Times / Garage Project,"Absurd amounts of uber-fresh Nelson, Denali, and Amarillo hops turn this beverage into a face-full of piney dankness over a bed of lush, tropical delights.","San Diego, CA",,,IPA
7.20%,59595959,Comet Rider,Modern Times + Bottlecraft,Collaboration between Modern Times and Bottlecraft! Tart and hoppy!,San Diego,Modern Times Comet Rider 6-pack + tote,1674651,American Wild Ale
5.20%,,Roots of Coincidence,Modern Times/Cloudwater,"The result of a collaboration with U.K. hop sorcerers Cloudwater. A wheat & pilsner malt bill alongside a delicious plethora of hops including Equinox, Southern Passion, Hallertau Blanc, Mosaic, and Simcoe result in an unstoppably juicy, tropical masterpiece with a luxuriously silky mouthfeel.","San Diego, CA",,,Pale Ale
5.20%,,Same Day XPA,Monkey Paw Brewing Company,"Juicy yet crisp with bright hop flavors and citrusy, orangey aromas",San Diego,,,Fresh Hop Pale Ale
5.80%,,Sweet Georgia Brown,Monkey Paw Brewing Company,"Dark, toasty and lightly sweet with notes of chocolate, coffee, biscuit and caramel",San Diego,,,Brown
9.40%,,Caffè della Vita,Monkish Brewing,"Tripel with pistachios, vanilla and Kochere coffee",Torrance,,,Tripel
9.40%,,Seme Della Vita,Monkish Brewing,Belgian-style tripel brewed with pistachios and vanilla beans,Torrance,,,Tripel
7.00%,850552005226,Shadowboxing,Monkish Brewing,"Dark amber Belgian-Style Dubbel, malty and fruity","Torrance, CA",Monkish Shadowboxing,1536192,Dubbel
6.40%,,St. Mosaic,Monkish Brewing,Mosaic single hop Belgian-style pale ,Torrance,,,Belgian Pale Ale
5.00%,,Tape Deck,Monkish Brewing,Light and refreshing with notes of anise and lemon,Torrance,,,Belgian-Style Witbier
7.00%,850552005080,Shaolin Fist,Monkish Brewing Company,Belgian-Style Dubbel w/ Sichuan Peppercorns ,Torrance,Monkish Shaolin Fist Bottle,478058,Dubbel
0.00%,,COFFEE: Cinna-Mostra Roll        ,Mostra Coffee,"Blend of cold brew, black tea and spices",Rancho Bernardo,,,Cold Brew Coffee
10.50%,858059004063,Big Mother,Mother Earth,"Brewed for their 3 Year Anniversary, this beer boasts huge aroma and flavor, staying balanced throughout.  Notes of Fruit Loops, Tropical fruit and creme brulee shines through with a slightly sweet finish","Vista, CA",Mother Earth Big Mother,481343,Triple IPA
6.50%,100000014110,Boo Koo,Mother Earth,Juicy mango and tropical notes with a spicy and dank finish,Vista,Mother Earth Boo Koo 6 pk,835465,IPA
5.20%,,Cali Creamin',Mother Earth,Smooth and refreshing with just the right amount of vanilla,Vista,,,Cream Ale with Vanilla
8.20%,858059004032,Hop Diggity,Mother Earth,"Intense tropical juiciness from the choice mix of citrus hops. Dry, drinkable, and dangerous","Vista, CA",Mother Earth Hop Diggity,481340,Double IPA
7.20%,858059004001,Kismet,Mother Earth,"Showcases the Nelson hop, tropical fruit notes with a solid malt backbone and assertive bitterness","Vista, CA",Mother Earth Kismet,481337,IPA
5.20%,,Cali Creamin',Mother Earth,Smooth and refreshing with just the right amount of vanilla,Vista,,,Cream Ale with Vanilla
8.10%,858059004070,Sin Tax,Mother Earth,Premium roasted malts and American Hops give way to a brown sugar and peanut butter essence that finishes beautifully,"Vista, CA",Mother Earth Sin Tax,481344,Imperial Stout
5.00%,100000014158,Honcho Hefe ,Mother Earth Brewing Co.,"Aromas and flavors of wheat, clove and slight Banana.",Vista,Mother Earth Honcho Hefe 6 pk,835467,Hefeweizen
8.50%,,Decipher Cipher,Mumford Brewing,"The abundance of Citra and Amarillo hops give off a bouquet of ripe melon, fresh raspberries, and sweet grapefruit.","Los Angeles, CA",,,Double IPA
4.80%,,Blue Paddle,New Belgium,"Pilsner with a refreshing crispness from noble hops and a rich, malty finish",Colorado,,,Czech Pilsener
9.00%,,Super IPA,New Belgium,Collaboration between New Belgium and Alpine,Colorado,,,DIPA
5.80%,094922851604,Explorer,New English Brewing,"Well balanced with a chewy maltiness, The flavor is a satisfying blend of caramel and biscuit malts, giving way to a pleasing bitterness, with a clean, dry, crisp finish.",San Diego,New English Explorer ESB 22oz,481042,ESB
9.30%,094922476524,Zumbar,New English Brewing,"Brewed with “El Mundo” a rich blend of Indonesian and Latin American coffee beans in the mash and also in the fermenter, as well as 2Lbs per Barrel of 72% cacao Belgian Chocolate","San Diego, CA",New English BA Zumbar,,Imperial Stout
6.50%,691054810549,Pure and Simple,New English Brewing ,Aromas and flavor of tropical fruit and citrus over some light caramel malt,San Diego,New English Pure and Simple 12oz,100000099766,IPA
11.00%,614036001063,Dragon's Milk,New Holland Brewing,roasty malt character intermingled with deep vanilla tones,Michigan,New Holland Dragon's Milk 12oz,2035238,BBA Imperial Stout
12.00%,,Dragon's Milk: Brewer's Select,New Holland Brewing,"A very limited batch of Dragon's Milk created using hand-picked barrels directly from distillers that retain more-than-usual bourbon character and carry that forward into the beer. A special treat for bourbon lovers and those looking for a little ""heat"" in their bee",Michigan,,,Barrel-Aged Stout
4.40%,,Baby Gaga,Noble Ale Works,"Light w/ hoppy flavors reminiscent of cactus cooler, fresh mint and cantaloupe",Anahiem,,,Session IPA
6.80%,852495006001,Big Whig,Noble Ale Works,"Layers of tangerine, honey and rosemary leading to a dry, resinous finish",Anaheim,Noble Big Whig IPA 22oz,476108,IPA
8.00%,100000015094,Citra Showers,Noble Ale Works,"Bursting with juicy layers of mango, lemongrass, and grapefruit",Anahiem,Noble Citra Showers,724563,Double IPA
7.50%,852495006018,I Love It,Noble Ale Works,"Mosaic, Simcoe, Citra, Centennial, Amarillo, Equinox and more",Pasadena,Noble I Love It IPA,836547,IPA
8.80%,,Idaho Showers,Noble Ale Works,"Single hopped with Idaho 7.  Aromas of California poppy, pine, and sage in a juicy double IPA","Anaheim,CA",,,Double IPA
6.50%,,Mass Confusion,Noble Ale Works,"Hazy from the wheat with aromas of pineapple, kiwi and banana","Anaheim,CA",,,Wheat IPA
8.80%,100000015131,Mosaic Showers,Noble Ale Works,Huge tropical hop aroma and taste,Anahiem,Noble Mosaic Showers,558480,Double IPA
4.40%,,Nose Candy,Noble Ale Works,Light and hoppy,Anahiem,,,Session IPA
4.40%,,Pilsnear,Noble Ale Works,"Light bodied, with flavors of freshly baked bread and magnolia flowers",Anahiem,,,Pilsner
4.50%,,Pistol Whip'd Pils,Noble Ale Works,Czech-Style Pils brewed with New Zealand’s Motueka hops,Anahiem,,,IPL
8.80%,100000015209,Sorachi Ace Showers,Noble Ale Works,Sorachi Ace is know for it's unique dill and lemon zest characteristics,Anahiem,Noble Sorachi Ace Showers,546604,DIPA
5.30%,,Tank Top,Noble Ale Works,"the lightest, qualitiest, Americanest beer possible","Anaheim,CA",,,Cream Ale
8.00%,852495006056,Tongue Tickles,Noble Ale Works,"Bursting with layers of stone fruit, bright citrus and pineapple",Anahiem,Noble Tongue Tickles 22oz,476131,Double IPA
8.80%,,Wakatu Showers,Noble Ale Works,"Wakatu offers flavors of blueberry, lime, and maraschino cherries",Anahiem,,,Double IPA
9.00%,866576000130,Imperial Stout,Nøgne Ø,"Deep aromas of dark chocolate, coffee, and roasted grain",Norway,BNS Gatling Gun Imperial Stout 22oz,100000102411,Imperial Stout
7.00%,,Kriek of Telemark,Nøgne Ø,Brewed with Norwegian sour cherries and a secret ingredient,Norway,,,Kriek
11.20%,,Barrel-Aged Old Rasputin XIX,North Coast Brewing Co,"A special batch of their much-loved Russian Imperial Stout in Bourbon barrels. Deep, intense, and complex flavor profile.","Fort Bragg, CA",,,Imperial Stout
3.45%,,Tart Cherry Berliner Weisse,North Coast Brewing Co.,Berlin-style tart wheat beer brewed with tart cherries,"Fort Bragg, CA",,,Berliner Weisse
6.60%,,Panoramic,North Park Beer Co,"A dank, resinous aroma and a flavor that is rounded out by its tropical fruit and citrus-lemon zest, honey-like quality","San Diego, CA",,,Pale Ale
8.60%,,Scolari's,North Park Beer Co,"6 different Hop varieties that give flavors of citrus, tropical fruit, and stone fruit.  Enough malt sweetness to balance the copious amounts of hops, making this Double IPA extremely drinkable.","San Diego, CA",,,Double IPA
9.00%,,Berserker Winter Imperial Stout,North Peak Brewing Company ,"Rich, thick & dark w/ an intense aroma of black currants, roasted coffee & hint of Cacao",Michigan,,,Imperial Stout
6.70%,,Vicious Wheat IPA,North Peak Brewing Company ,Wheat IPA with a generous amounts of hops,Michigan,,,Wheat IPA
3.80%,19962027345,Yuzu Fierce,Off Color,Berliner-style wheat beer brewed with Yuzu citrus fruit,"Chicago, IL",Off Color Yuzu Fierce,1396874,Berliner Weisse
4.50%,794504360264,Troublesome,Off Color Brewing ,Notes of lemon and some spiciness from the coriander. Finishes dry.,"Chicago, Illinois",Off Color Troublesome,2448619,Gose
6.00%,7350064990520,Abrahadabra,Omnipollo,"Brewed with Strawberries, vanilla, and lactose to simulate a smoothie",Sweden,Omnipollo Abrahadabra,1780823,Smoothie IPA
6.00%,73500649905440,Bianca Mango Lassi,Omnipollo,"Gose-style beer brewed with lactose, sea salt, and mango puree",Sweden,Omnipollo Bianca Mango Lassi Gose,1781017,Gose
6.00%,7350064990681,Bianca Raspberry,Omnipollo,"Sour ale brewed with lactose sugar, raspberries and rock salt",Sweden,Omnipollo Bianca Raspberry,100000097465,Gose
8.00%,,Fatamorgana Double IPA,Omnipollo,Double IPA brewed using oats and wheat,Sweden,,,DIPA
6.00%,,Magic #411 Smoothie IPA,Omnipollo,"IPA brewed with wild strawberry, rhubarb, vanilla and lactose",Sweden,,,IPA
4.50%,7350064990629,Nautilus,Omnipollo,"Brewed with blueberries, vanilla beans, and lactose sugar",Sweden,Omnipollo Nautilus,2137439,Sour Ale
10.00%,,Omniprairie,Omnipollo / Prairie,"Stout brewed w/ fresh salted caramel sauce, vanilla, cocoa nibs and lactose",Sweden,,,Imperial Milk Stout
12.90%,819942000319,Barrel-Aged Ten Fidy,Oskar Blues,"This titanic, immensely viscous stout is loaded with inimitable flavors of chocolate-covered caramel and coffee and is aged in Bourbon Barrels",Colorado,Oskar Blues Barrel-Aged Ten Fidy CAN,,Imperial Stout
7.00%,819942000494,Bayside Black IPA,Oskar Blues,"A malty backbone with bright, citrusy hops, this beer was brewed with the band Bayside in Celebration of their new album Vacancy",Colorado,Oskar Blues Bayside Black IPA CAN,,Black IPA
4.00%,819942000401,Beerito,Oskar Blues,"Incredibly smooth with flavors of walnut, toasted bread, plum, honey, and cocoa",Colorado,Oskar Blues Beerito,2206223,Mexican Lager
6.50%,819942000227,Death by Coconut,Oskar Blues,Irish-style porter brewed with coconut and chocolate,Colorado,Oskar Blues Death By Coconut Can,1584343,Porter
7.00%,,IceyPA,Oskar Blues,"Zesty citrus hops, pineapple, peaches, and a hint of toasted wheat",Colorado,,,White IPA
5.50%,,Shordy Stout,Oskar Blues,"A hoppy, bitter, strongly roasted Foreign-style Stout (of the export variety)",Colorado,,,Foreign Stout
5.50%,,Sour Sherry Mama's Little Yella Pils,Oskar Blues,Sour Sherry Barrel Aged Mama's Little Yella Pils,Colorado,,,American Wild Ale
10.50%,819942000319,Ten FIDY,Oskar Blues,Viscous stout loaded with flavors of chocolate-covered caramel and coffee,Colorado,Oskar Blues Barrel-Aged Ten Fidy CAN,,Imperial Stout
6.50%,819942000364,Hotbox Coffee Porter,Oskar Blues Brewing Company,"Rich, Robust with obscene amount balinese coffee",Colorado ,Oskar Blues Hotbox Coffee Porter,1683094,Porter
5.00%,74825255650,Continental,Oxbow Brewing Company,American style pale ale made with all European hops,Maine,Butchers Continental Stout,693146,Pale Ale
6.00%,,Farmhouse Pale,Oxbow Brewing Company,"American hops meet saison yeast in this dry, signature ale",Maine,,,Saison
6.90%,100000005170,Dual Artisanship,Perennial + Prairie Artisan Ales,Red saison fermented with a blend of ale yeast and Brett and dry-hopped with Centennial and Simcoe,"St. Louis, Missouri ",Perennial Ales Dual Artisanship,722680,Saison
9.30%,857198003357,17 Mint Chocolate Stout,Perennial Artisan Ales,Decadent chocolate stout complimented with a smooth mint finish ,"St. Louis, Missouri ",Perennial Ales 17 Mint Chocolate Stout,722678,Imperial Stout
10.00%,857198003128,Abraxas,Perennial Artisan Ales,"Brewed with ancho chili peppers, cacao nibs, vanilla beans, and cinnamon sticks. Pouring deep brown with a thick head, this beer has a complex body with a delicious lingering roastiness",Missouri,Perennial Ales Abraxas,558499,Imperial Stout
7.30%,100000000540,Aria,Perennial Artisan Ales,Belgian Ale brewed with Brettanomyces,"St. Louis, Missouri ",2 Towns Rhubarbarian 4pk,836025,Belgian Pale Ale
5.90%,,Hommel Bier,Perennial Artisan Ales,Earthy and spicy tones from the yeast with citrus notes from the hops,"St. Louis, Missouri ",,,Dry Hopped Belgian Pale
4.20%,100000005293,Hopfentea,Perennial Artisan Ales,Brewed with a homemade tea blend imparting apricot hue & botanical aromatics,"St. Louis, Missouri ",Perennial Hopfentea Btl,892552,Berlinerweiss
4.20%,100000005644,Peach Berliner Weisse,Perennial Artisan Ales,"Delicate peach and sour aromas, ending perfectly with a crisp dry finish","St. Louis, Missouri ",Perennial Peach Berliner Weisse Bottle,1467240,Berliner Weisse
8.50%,10857198003101,Regalia,Perennial Artisan Ales,Fermented with Brettanomyces Bruxellensis and Brettanomyces Anomala,"St. Louis, Missouri ",Perennial Regalia 750ml,994649,Rustic Farmhouse Ale
5.00%,857198003067,Saison de Lis,Perennial Artisan Ales,Saison brewed with chamomile flowers,"St. Louis, Missouri ",Perennial Saison de Lis bottle,558500,Saison
5.00%,,Southside Blonde,Perennial Artisan Ales,"Refreshing golden ale brewed with a Belgian yeast strain
","St. Louis, Missouri ",,,Belgian Style Blonde Ale
4.20%,857198003272,Suburban Beverage,Perennial Artisan Ales,"Gose-style ale brewed with salt, orange peel, lemon peel and key lime juice","St. Louis, Missouri ",Perennial Suburban Beverage Bottle,1321464,Gose
10.50%,857198003456,Sump ,Perennial Artisan Ales,Imperial Stout blended with Sump Coffee,"St. Louis, Missouri ",Perennial SUMP 750ml,835644,Imperial Stout
3.90%,,Blood Orange Broadacres,Phantom Carriage,Sour wheat beer brewed with Blood Oranges,"Carson, CA",,,Berliner Weisse
3.90%,100000102329,Broadacres,Phantom Carriage,Brettanomyces and lactobacillus fermented wild berliner weisse,"Carson, CA",Phantom Carriage BA Apricot Broadacres 500ml,100000101162,Berliner Weisse
3.90%,,Broadacres With Peaches,Phantom Carriage,Sour wheat beer brewed with peaches,"Carson, CA",,,Berliner Weisse
3.90%,,Grapefruit Broadacres w/ Simcoe,Phantom Carriage,Sour wheat beer brewed with Grapefruit and dry-hopped with Simcoe,"Carson, CA",,,Berliner Weisse
3.90%,,Mango Broadacres,Phantom Carriage,Sour wheat beer brewed with Mango,"Carson, CA",,,Berliner Weisse
3.90%,,Mixed Berry Broadacres,Phantom Carriage,Sour wheat beer brewed with a berry medley,"Carson, CA",,,Berliner Weisse
6.50%,100000007792,Muis,Phantom Carriage,Tropical and citrus fruits dominate the palate w/ hints of herbal hops and a dry finished,"Carson, CA",Phantom Carriage Citra Muis 750ml,2175790,Wild Belgian Blonde
3.90%,,Passion Fruit Broadacres,Phantom Carriage,Sour wheat beer brewed with Passion Fruit,"Carson, CA",,,Berliner Weisse
3.90%,,Raspberry Broadacres,Phantom Carriage,Sour wheat beer brewed with Raspberries,"Carson, CA",,,Berliner Weisse
6.50%,,Simcoe Muis,Phantom Carriage,Muis dry hopped with Simcoe hops,"Carson, CA",,,Wild Belgian Blonde
3.90%,100000102312,Strawberry Broadacres,Phantom Carriage,Sour wheat beer brewed with strawberries,"Carson, CA",Phantom Carriage BA Strawberry Broadacres 500ml,,Berliner Weisse
3.90%,,Tart Cherry Broadacres,Phantom Carriage,Sour wheat beer brewed with cherries,"Carson, CA",,,Berliner Weisse
10.00%,,Hop-15,Port Brewing,Huge fresh hop resins with pine and citric aromas countered with notes of malt,San Marcos,,,Imperial IPA
12.00%,,Older Viscosity ,Port Brewing,Imperial Stout aged for 12 months in new bourbon barrels,San Marcos,,,BBA Imperial Stout
10.00%,,Santa's Little Helper,Port Brewing,Dark cocoa and roasted coffee aromatics,San Marcos,,,Imperial Stout
9.00%,689926000136,Shark Attack,Port Brewing,Smooth and malty with a generous hop character,San Marcos,Port Shark Attack,481142,Imperial Red
6.00%,,Summer Pale Ale,Port Brewing,"Initial nose of dankness with subtle pine, and tangerine-like bitterness",San Marcos,,,Pale Ale
12.00%,,Barrel-Aged Santa's Little Helper,Port Brewing Company,"Begins the journey with flavors of sweet Bourbon and oak, continues with hints of nutty dark chocolate and malt and finishes with a smoky coffee finish","San Marcos, CA",,,Imperial Stout
4.20%,80800934,Birra,Prairie,,Oklahoma,32 Via dei Birrai Curmi,2035288,Saison
7.50%,894776000940,Cherry Funk,Prairie,Sour ale that has been aged on cherries,Oklahoma,Prairie Cherry Funk,478128,Sour
14.00%,683318988262,Bomb!,Prairie Artisan Ales,"Aged on espresso beans, chocolate, vanilla beans, & ancho chile peppers",Oklahoma,Prairie Birthday BOMB!,2488028,Stout
8.10%,,Brett C.,Prairie Artisan Ales,Farmhouse ale brewed with Cascade and Citra with sea salt and Brett,Oklahoma,,,Saison
11.00%,894776000636,Christmas Bomb!,Prairie Artisan Ales,Bomb! brewed with Cinnamon bark,Oklahoma,Prairie Christmas BOMB! 12oz,478126,Imperial Stout
7.00%,100000012253,Eliza5beth,Prairie Artisan Ales,"Golden farmhouse ale aged on apricots. Light apricot, earth, musk, floral",Oklahoma,KEG Prairie Eliza5beth 1/6 BBL,835271,Farmhouse Ale
5.40%,894776001015,Flare,Prairie Artisan Ales,Tart and dry with slight grapefruit sourness ending with an orange aftertaste,Oklahoma,Prairie Flare,1611989,Gose
7.50%,683318988200,Funky Gold Simcoe,Prairie Artisan Ales,"Nicely hopped with powerful tropical fruit flavors, Brett funk, and subtle acidity",Oklahoma,Prairie Funky Gold Simcoe 500ml,2167341,American Wild Ale
5.65%,894776000162,Limo Tint,Prairie Artisan Ales,Milk stout aged on chocolate,Oklahoma,Prairie Limo Tint,616105,Milk Stout
13.00%,,Paradise,Prairie Artisan Ales,"Prairie took a stout, gave it a hint of vanilla and a good deal of toasted coconut and created one season defying, genre bending brew",Oklahoma,,,Imperial Stout
8.40%,,Prairie 3rd Anniversary Ale,Prairie Artisan Ales,Farmhouse ale brewed with raspberries.,Oklahoma,,,Saison
8.00%,894776000117,Prairie HOP,Prairie Artisan Ales,"Saison packed w/ Simcoe & Citra hops; Notes of peach, mango, & tangerine",Oklahoma,Prairie Prairie Hop,478121,Dry Hopped Saison
7.00%,100000013397,Prairie Somewhere,Prairie Artisan Ales,Brewed in collaboration w/ Florida's Saint Somewhere.  A blend of a saison and a golden sour with citrus fruit added.,Oklahoma,Prairie Somewhere 750ml,835640,Sour Ale
7.00%,100000013397,Prairie Somewhere,Prairie Artisan Ales,Brewed with citrus fruit adding orange and lime notes,Oklahoma,Prairie Somewhere 750ml,835640,Blend of Golden Ale and Sour
5.20%,759325688010,Standard,Prairie Artisan Ales,"Light, crisp saison with a hoppy finish",Oklahoma,Clown Royal Standard,477997,Saison
6.60%,683318988224,Trve Edition,Prairie Artisan Ales / Trve Brewing ,"Tart raspberry, earthy and bretty",Oklahoma,Prairie TRVE Edition 500ml,2167288,Flanders Red
6.50%,,Jack D'Or,Pretty Things Beer & Ale Project,"First release from Pretty Things. A ""Saison Americain""",Massachusetts,,,Saison
5.50%,,Carnegie Porter,Pripps Bryggerier,"Aromas of caramel, dark rye bread, dark fudge, roast, chocolate",Sweden,,,Baltic Porter
5.00%,,1809 Berliner Style Weisse,Professor Fritz Briem,"Quite dry and tart, highly complex combination of fruitness and lactic sourness","Friesing, Germany",,,Berliner Weisse
7.00%,,Everyday California,Pure Project Brewing,"The grain comes from Northern California, the hops from SD Golden Hop Farm in Fallbrook, and the yeast from White Labs right down the street. Aromas of grapefruit and mango to pair with the flavors of pine, fresh grass, mangosteen and citrus.","San Diego, CA",,,Wet-Hopped IPA
6.90%,,Keep Amurka Dank,Pure Project Brewing,"A tribute to the American hop, this complex IPA features Citra, Mosaic & CTZ hops and is accentuated by the fruity esters of the barbarian yeast strain. Notes of lychee, guava, tangerines, and navel oranges","San Diego, CA",,,IPA
6.80%,,Moment of Clarity,Pure Project Brewing,"Smooth, triple hopped IPA featuring Nelson, Wakatu, and Simcoe hops.  The hops blend with the barbarian yeast to create jammy flavors of marmalade and lychee fruit.","San Diego, CA",,,IPA
7.00%,,Murk of the Beast,Pure Project Brewing,"Northeast style turbid  IPA w/ Citra, Mosaic, Galaxy, and Nelson hops","San Diego, CA",,,IPA
9.30%,,"Murk, Party of 2",Pure Project Brewing,"Brewed w/ Agave and hopped w/ Nelson, Galaxy, and Mosaic. A straight-up juice bomb.","San Diego, CA",,,Double IPA
5.50%,,Murklands,Pure Project Brewing,"A hazy version of their Badlands Rye Pale Ale using an east coast yeast strain.  Dry hopped like crazy with Citra Hops, this beer is super fresh and dank","San Diego, CA",,,Pale Ale
7.00%,,Murkwood,Pure Project Brewing,"An all New Zealand Hop Murky IPA. Juicy, hop-forward w/ Nelson and Pacifica hop aroma.  Also features notes of passion fruit and guava coming in large from the barbarian yeast strain. Oats were added to the grain bill to create a smoother mouthfeel.","San Diego, CA",,,IPA
8.80%,,Bright Side of the Moon,Pure Project Brewing,"Brewed with Costa Rican Coffee, Cocoa, and cacao","San Diego, CA",,,Golden Stout
5.00%,100000014172,Blood Orange Wit,Refuge Brewery,200lbs of fresh blood oranges in every batch!,"Temecula, CA",Refuge Blood Orange Wit 4 pk,835658,Witbier
5.00%,100000014172,Blood Orange Wit,Refuge Brewery,200lbs of fresh blood oranges in every batch!,Temecula,Refuge Blood Orange Wit 4 pk,835658,Witbier 
4.80%,810538020025,Kölsch,Reissdorf,"Minty, hop aroma, slightly malty, fairly soft palate, restrained on fruitiness.",Germany ,Coachella Kölschella,834870,Kölsch
4.80%,810538020025,Kölsch,Reissdorf,"Minty, hop aroma, slightly malty, fairly soft palate, restrained on fruitiness.",Germany ,Coachella Kölschella,834870,Kölsch
6.50%,,All the Cheater Hops,Resident Brewing,"A hazy American IPA brewed with Nelson, Mosaic, and Galaxy hops","San Diego, CA",,,IPA
6.40%,,Chasing Citra,Resident Brewing,"Bright and crisp with flavors of melon, tangerine and pineapple and showcasing the Citra hop","San Diego, CA",,,IPA
6.80%,,Urbanite,Resident Brewing,"Heavy-hop aroma/flavor consisting of melon, tropical fruit, pineapple and light grapefruit notes.  Hopped with Mosaic, Citra, and Amarillo","San Diego, CA",,,IPA
6.70%,855710004059,Hallelujah Hopricot,Reverend Nat’s Hard Cider,"Off-Dry cider steeped with coriander, bitter orange peel and paradise grains","Portland, Oregon",Reverend Nat's Hallelujah Hopricot,477028,Dry Hopped Cider
6.90%,,The Passion,Reverend Nat’s Hard Cider,"Passion fruit throughout, semi-sweet and tart","Portland, Oregon",,,Hard cider blended with Passion fruit juice
6.70%,,Break Line Bock,Rip Current Brewing Co.,"Big toasty, dark bready malt character with just a hint of bitterness to balance",San Marcos,,,Bock
5.30%,,Choppy Surf,Rip Current Brewing Co.,"Features a cracker, biscuit sweetness balanced by an herbal and pleasantly spicy character from the hops.  The finish is crisp, dry and refreshing",San Diego,,,Czech Pilsner
6.50%,,Impact Zone,Rip Current Brewing Co.,"Tropical fruit aromas, malt backbone",San Marcos,,,IPA
5.50%,,Pearling Pale Ale,Rip Current Brewing Co.,Pale with Mosaic and Amarillo hops; nice and fruity with some pine notes,San Marcos,,,Pale Ale
7.00%,,Rodenbach Vintage 2013,Rodenbach,"100% matured beer which results in a superior taste.  Complex and rounded, intense and refreshing, characterized by an acidic, appley fruitiness combined with caramel, wild honey, and oak.",Belgium,,,Flanders Red
7.25%,818534021022,Damnation,Russian River Brewing,"Inspired by Duvel and other strong golden ales of Belgium. It is medium-bodied, has a fruity/banana bouquet, and a dry, spicy finish.","Santa Rosa, CA",Anchorage Love & Death of Damnation,,Belgian Strong Pale
5.00%,,Mandarina Wheat,Saint Archer Brewing Company,"Brewed with fresh lemon peel and Citra, Mandarina Bavaria, & Nelson Sauvin",San Diego,,,Wheat Ale
8.00%,,Cynthiana Saison,Saint Somewhere Brewing Co.,"Fruity esters, light bubblegum, lemon zest, earthy tones, mild citric tartness",Florida,,,Saison
5.50%,,SanTan Oktoberfest,SanTan Brewing Co.,Toasty strong malt profile; clean and crisp,Arizona,,,Märzen
10.50%,,Fat AleBert,SanTan Brewing Company,Imperial Brown Ale brewed with brown sugar and hickory smoked apples,Arizona,,,Imperial Brown
7.10%,856229002338,Moon Juice,SanTan Brewing Company,"Loads of citrus and tropical fruit flavors, grassy hops, clean finish",Arizona,San Tan Moon Juice IPA,1532400,Wheat IPA
5.40%,,Schneider Weiss Tap 7 Unser Original,Schneider,A full-bodied and sparkling beer with a harmonious finish,Germany,,,Hefeweizen
6.20%,,CoCo Rasa,Second Chance Beer Company,"Porter brewed with organic cacao nibs, toasted coconut, and vanilla beans",San Diego,,,Porter
5.20%,,Pink Drank,Second Chance Beer Company,"Saison infused with lemon & orange peel, Hibiscus, and Grains of Paradise",San Diego,,,Saison
6.50%,855176006048,Seize the Coffee,Second Chance Beer Company,"Notes of freshly ground coffee, biscuit malt and earthy, citrus, and resin hops",San Diego,Second Chance Seize the Coffee CAN,100000063033,Coffee IPA
6.20%,862446000064,Arlo,Shacksbury,"Dry cider fermented with wild yeast. Suble funk, cirtus notes, polished tannins",Vermont,Shacksbury Arlo Cider 500ml,2064763,Cider
10.00%,,Bittersweet Lenny's R.I.P.A,Shmaltz Brewing Co.,Double IPA with rye malt brewed in tribute to Lenny Bruce ,New York,,,Double Rye IPA
9.40%,,Bock Bock,Shmaltz Brewing Co.,"Imperial American Bock Aged In Bourbon Barrels including Jim Beam, Heaven Hill, and Buffalo Trace",New York,,,BBA Imperial Bock
9.40%,642855422103,He'Brew Funky Jewbelation,Shmaltz Brewing Co.,"Funky tart aroma, more hop character than most funky beers",New York,He'Brew Funky Jewbelation 22oz,830249,American Wild Ale
11.00%,100000010969,She'Brew,Shmaltz Brewing Company,"Brewed for ""International Women’s Collaboration Brew Day""",New York,He'brew She'Brew Triple IPA 22 oz,1020150,Triple IPA
12.90%,,Barrel- Aged Narwhal w/ Currants,Sierra Nevada,"Aged in boubon barrels with red and black currants added.  Deep, roasty notes of the stout blend well with the berries and barrels to create flavors of cocoa and coconut with a mellow fruit undertone.","Chico, CA",,,Imperial Stout
12.60%,,Barrel-Aged Bigfoot w/ Ginger,Sierra Nevada,"Aged in whiskey barrels with ginger added.  Notes of burnt sugar, orange zest, vanilla and candied ginger","Chico, CA",,,Barleywine
8.80%,083783430066,Biere de Garde,Sierra Nevada,"Aged in red wine barrels for layred flavors of straw, fruit, oak, and the unique notes of traditional Belgian yeast.","Chico, CA",Sierra Nevada Biere de Garde 750ml,,Biere de Garde
6.80%,600015345,Celebration,Sierra Nevada,"Layered pine and citrus hop aromas balance delicately against rich, malt sweetness to shape this bold wintertime classic","Chico, CA",Sierra Celebration 6pk,835769,Fresh Hop IPA
6.70%,,Northern Hemisphere Harvest,Sierra Nevada,"Huge citrus and pine hops with a nice spicy element, moderate bitterness","Chico, CA",,,Fresh Hop IPA
6.00%,,Oktoberfest 2016,Sierra Nevada,"Collaboration w/ Bamberg, Germany’s Mahrs Bräu. This authentic version of the festival beer is deep golden in color with a rich malt complexity, but with a noticeable spicy hop character","Chico, CA",,,Festbier
4.50%,83783171006,Otra Vez,Sierra Nevada,Combines prickly pear cactus with a hint of grapefruit for a refreshing beer that will have you calling for round after round. Otra Vez!,"Chico, CA",Sierra Nevada Otra Vez btl,1805546,Gose
